5 DE MAYO,219,Aguascalientes,20000,Aguascalientes
AGUASCALIENTES SUR,303,Jesús María,20335,Aguascalientes
PANAMERICANA SUR,85,Aguascalientes,20290,Aguascalientes
SOYA,37,Aguascalientes,20135,Aguascalientes
ALFONSO BERNAL SANTOS,C-6N,Aguascalientes,20290,Aguascalientes
INGENIERO MIGUEL ANGEL BARBERENA VEGA,318,Rincón de Romos,20416,Aguascalientes
VIÑEDOS SAN MARCOS,230,Jesús María,20920,Aguascalientes
HORTELANOS,517,Aguascalientes,20156,Aguascalientes
Ferrocarriles Nacionales,68,Naucalpan de juarez,55600,Mexico
CEREALES,37,CENTRO COMERCIAL AGROPECUARIO,20135,Aguascalientes
Pensador Mexicano,SN,Nicolas Romero,54434,Mexico
HEROICO COLEGIO MILITAR PONIENTE,613,DE CHORA,20406,Aguascalientes
RAYON,401,ZONA CENTRO,20000,Aguascalientes
MAIZ,81,CENTRO COMERCIAL AGROPECUARIO,20135,Aguascalientes
INDEPENDENCIA,841,LAS FLORES,20802,Aguascalientes
FRAILEA,407,VALLE DE LOS CAPTUS,20196,Aguascalientes
GUADALUPE,251,MARAVILLAS,20900,Aguascalientes
PONIENTE 150,973,Azcapotzalco,2300,Ciudad de México
FRAY PEDRO DE GANTE,1,Tlalpan,14080,Ciudad de México	
MONEDA,18,Cuauhtémoc,6000,Ciudad de México
TLAHUAC,3820,Iztapalapa,9800,Ciudad de México
PROLONGACIÓN AVENIDA SANTA FE,70,Álvaro Obregón,1210,Ciudad de México
EMILIANO,6,CIENEGA GRANDE,20722,Aguascalientes
GRAN SUR,121,Coyoacán,4700,Ciudad de México
ANTONIO DOVALÍ JAIME,70,Álvaro Obregón,01048,Ciudad de México
CALLE CENTRO DISTRIBUIDOR DE BASICOS,3,CENTRO DISTRIBUIDOR DE BASICOS,20135,Aguascalientes
ORIENTE 136,144,Venustiano Carranza,15530,Ciudad de México
REVOLUCION,221,VICENTE GUERRERO,20286,Aguascalientes
ESTEBAN CHAVERO,70,Tláhuac,13360,OBRAJE,20230,Aguascalientes
MARIANO MATAMOROS NORTE,300,ZONA CENTRO,20000,Aguascalientes
MATAMOROS,1,Tlalpan,14250,Ciudad de México
PRIVADA SAN LORENZO,48,Xochimilco,16020,Ciudad de México
FELIX PARRA,170,Benito Juárez,3900,Ciudad de México
COMERCIO,64,CENTRO COMERCIAL AGROPECUARIO,20135,Aguascalientes
CONVENCION,88,VERSALLES SEGUNDA SECCION,20285,Aguascalientes
MARIANO OTERO,1329,Guadalajara,44550,Jalisco
HUERTO LOS OLMOS,111,Oaxaca de Juárez,68120,Oaxaca
HIDALGO,7,Teotitlán de Flores Magón,68540,Oaxaca
VIALIDAD ARROYO DE LA PLATA,20,Guadalupe,98600,Zacatecas
NEZAHUALCOYOTL,10,Zacatecas,98057,Zacatecas
CANTERA,2200,Guadalupe,98600,Zacatecas
PROLONGACION MORELOS,19,Ramos Arizpe,25900,Coahuila de Zaragoza
LIBERTAD SUR,212,San Martín Texmelucan,74000,Puebla
REPUBLICA DEL SALVADOR,39,Cuauhtémoc,6080,Ciudad de México
DOCTOR JOSÉ MARÍA VÉRTIZ,763,Benito Juárez,3020,Ciudad de México
POCHITECAS,26,Iztapalapa,9030,Ciudad de México
FRANCISCO I. MADERO,SN,LA CONCEPCION,20354,Aguascalientes
CONVENCION DE 1914 SUR,503,LAS AMERICAS,20230,Aguascalientes
PROLONGACION TEPEZALA,1625,SAN JOSE DEL ARENAL,2013,Aguascalientes
DOCTOR ISIDRO CALERA,612,GREMIAL,20030,Aguascalientes
OLA VERDE,3500,Mexicali,21399,Baja California
MARISCAL SUCRE,65,Tijuana,22115,Baja California
12 DE OCTUBRE,3417,Tijuana,22100,Baja California
22 DE NOVIEMBRE,875,Tijuana,22100,Baja California
APOZOL,1562,Mexicali,21090,Baja California
VIRGILIO URIBE,967,Ensenada,22800,Baja California
Ruta Independencia,9801,Tijuana,22330,Baja California
CASTILLO,794,Ensenada,22800,Baja California
RIO MOCORITO,800,Mexicali,21290,Baja California
CALLE DEL ARROYAN,399,Mexicali,21254,Baja California
DEL ARROYAN,0,Mexicali,21399,Baja California
LAZARO CARDENAS,1500,Mexicali,21180,Baja California
VASCO DE QUIROGA,702,Mexicali,21240,Baja California
FRANCISCO I. MADERO,464,Mexicali,21100,Baja California
CONSTITUCION,SN,Tijuana,22000,Baja California
FRANCISCO I. MADERO,946,Mexicali,21100,Baja California
MIGUEL NEGRETE,1841,Tijuana,22000,Baja California
ESPINOZA,447,Ensenada,22800,Baja California
MEXICO,242,Mexicali,21100,Baja California
SIERRA MADRE ORIENTAL,SN,Mexicali,21970,Baja California
Calzada de las Águilas,0,Ensenada,22880,Baja California
Benito Juárez,57,Tijuana,21060,Baja California
Lázaro Cárdenas,0,Mexicali,21399,Baja California
NIÑOS HEROES (B),1393,Tijuana,22000,Baja California
